jvm_short,jvm_descr,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx512m -Xms512m,9524,0,952.37,1.050,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx512m -Xms512m,8250,0,824.99,1.212,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx512m -Xms512m,10404,0,1040.37,0.961,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Open Liberty,-Xmx512m -Xms512m,9211,0,921.09,1.086,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx512m -Xms512m,12389,0,1238.88,0.807,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx512m -Xms512m,11134,0,1113.39,0.898,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx512m -Xms512m,10901,0,1090.09,0.917,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Spring Boot WebFlux,-Xmx512m -Xms512m,12686,0,1268.59,0.788,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx512m -Xms512m,73174,0,7317.40,0.137,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx512m -Xms512m,68462,0,6846.07,0.146,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx512m -Xms512m,74024,0,7402.40,0.135,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,No framework,-Xmx512m -Xms512m,67709,0,6770.89,0.148,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx512m -Xms512m,37964,0,3796.38,0.263,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx512m -Xms512m,46117,0,4611.69,0.217,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx512m -Xms512m,41367,0,4136.68,0.242,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Vert.x,-Xmx512m -Xms512m,39421,0,3939.58,0.254,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx128m -Xms128m,2672,0,267.20,3.743,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx128m -Xms128m,2374,0,237.11,4.217,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx128m -Xms128m,2645,0,264.46,3.781,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Akka,-Xmx128m -Xms128m,2471,0,247.08,4.047,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx128m -Xms128m,6071,0,607.03,1.647,1,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx128m -Xms128m,13471,0,1347.09,0.742,1,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx128m -Xms128m,6688,0,668.44,1.496,4,1,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Quarkus,-Xmx128m -Xms128m,14160,0,1415.96,0.706,4,4,10
openj9_8_222,OpenJ9 8,8,Balanced policy,Balanced,Helidon SE,-Xmx128m -Xms128m,19255,0,1925.48,0.519,1,1,10
