jvm_short,jvm_descr,jvm_vendor,jvm_major_version,gc_descr,gc_short,framework,memflag,compl_req,failed_req,req_per_sec,time_per_req_avg,cpus,concurrency,duration
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,198018,0,9900.89,0.101,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,160639,0,8030.90,0.125,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,159176,0,7958.79,0.126,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,199954,0,9997.70,0.100,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,169231,0,8460.65,0.118,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,167350,0,8367.48,0.120,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,189648,0,9482.37,0.105,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,158342,0,7917.10,0.126,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,No framework,-Xmx128m -Xms128m,161508,0,8075.40,0.124,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,152039,0,7601.93,0.132,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,208118,0,10405.89,0.096,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,215580,0,10779.00,0.093,1,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,149100,0,7455.00,0.134,4,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,207184,0,10359.19,0.097,4,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,216849,0,10842.45,0.092,4,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,145018,0,7250.90,0.138,8,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,200800,0,10039.99,0.100,8,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Vert.x,-Xmx128m -Xms128m,210538,0,10526.89,0.095,8,8,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx50m -Xms50m,10750,0,536.79,1.863,1,1,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx50m -Xms50m,10415,0,520.73,1.920,1,4,20
openj9_8_222,OpenJ9 8,OpenJ9,8,Generational Concurrent policy,GenCon,Akka,-Xmx50m -Xms50m,12325,0,616.25,1.623,1,8,20
